State,Inches,Milli­metres,Rank-1,AvgF,AvgC,Rank-2,Rank-3,Avgmph,Station.ID,Latitude,Longitude
Alabama,58.3,1480,4,62.8,17.1,7,43,14.70 mph, AL,32.31823,-86.902298
Alaska,22.5,572,39,26.6,-3,50,31,16.35 mph, AK,66.160507,-153.369141
Arizona,13.6,345,47,60.3,15.7,10,34,15.92 mph, AZ,34.048927,-111.093735
Arkansas,50.6,1284,8,60.4,15.8,9,29,16.44 mph, AR,34.799999,-92.199997
California,22.2,563,40,59.4,15.2,12,49,13.54 mph, CA,36.778259,-119.417931
Colorado,15.9,405,44,45.1,7.3,39,5,20.16 mph, CO,39.113014,-105.358887
Connecticut,50.3,1279,9,49,9.4,29,47,13.97 mph, CT,41.599998,-72.699997
Delaware,45.7,1160,16,55.3,12.9,16,50,12.91 mph, DE,39,-75.5
Florida,54.5,1385,5,70.7,21.5,1,44,14.63 mph, FL,27.994402,-81.760254
Georgia,50.7,1287,7,63.5,17.5,5,39,15.34 mph, GA,33.247875,-83.441162
Hawaii,63.7,1618,1,70,21.1,2,46,14.03 mph, HI,19.741755,-155.844437
Idaho,18.9,481,42,44.4,6.9,40,4,20.59 mph, ID,44.068203,-114.742043
Illinois,39.2,996,27,51.8,11,23,15,18.28 mph, IL,40,-89
Indiana,41.7,1060,26,51.7,10.9,25,20,17.84 mph, IN,40.273502,-86.126976
Iowa,34,864,31,47.8,8.8,36,17,18.09 mph, IA,42.032974,-93.581543
Kansas,28.9,733,35,54.3,12.4,19,9,19.30 mph, KS,38.5,-98
Kentucky,48.9,1242,12,55.6,13.1,15,32,16.26 mph, KY,37.839333,-84.27002
Louisiana,60.1,1528,2,66.4,19.1,3,48,13.60 mph, LA,30.39183,-92.329102
Maine,42.2,1072,23,41,5,48,27,16.95 mph, ME,45.367584,-68.972168
Maryland,44.5,1131,18,54.2,12.3,20,6,19.74 mph, MD,39.045753,-76.641273
Massachusetts,47.7,1211,14,47.9,8.8,35,36,15.76 mph, MA,42.407211,-71.382439
Michigan,32.8,833,32,44.4,6.9,40,22,17.50 mph, MI,44.182205,-84.506836
Minnesota,27.3,693,37,41.2,5.1,47,13,18.51 mph, MN,46.39241,-94.63623
Mississippi,59,1499,3,63.4,17.4,6,40,15.19 mph, MS,33,-90
Missouri,42.2,1071,24,54.5,12.5,18,8,19.31 mph, MO,38.573936,-92.60376
Montana,15.3,390,45,42.7,5.9,45,2,21.03 mph, MT,46.96526,-109.533691
Nebraska,23.6,599,38,48.8,9.3,30,12,18.51 mph, NE,41.5,-100
Nevada,9.5,241,50,49.9,9.9,28,24,17.43 mph, NV,39.876019,-117.224121
New Hampshire,43.4,1103,20,43.8,6.6,42,26,17.13 mph, NH,44,-71.5
New Jersey,47.1,1196,15,52.7,11.5,22,45,14.33 mph, NJ,39.833851,-74.871826
New Mexico,14.6,370,46,53.4,11.9,21,21,17.82 mph, NM,34.307144,-106.018066
New York,41.8,1062,25,45.4,7.4,37,37,15.57 mph, NY,43,-75
North Carolina,50.3,1279,9,59,15,13,19,17.99 mph, NC,35.782169,-80.793457
North Dakota,17.8,452,43,40.4,4.7,49,10,18.80 mph, ND,47.650589,-100.437012
Ohio,39.1,993,28,50.7,10.4,26,33,16.16 mph, OH,40.367474,-82.996216
Oklahoma,36.5,927,30,59.6,15.3,11,28,16.46 mph, OK,36.084621,-96.921387
Oregon,27.4,695,36,48.4,9.1,33,30,16.38 mph, OR,44,-120.5
Pennsylvania,42.9,1089,21,48.8,9.3,30,25,17.42 mph, PA,41.203323,-77.194527
Rhode Island,47.9,1218,13,50.1,10.1,27,42,14.91 mph, RI,41.742325,-71.742332
South Carolina,49.8,1264,11,62.4,16.9,8,35,15.88 mph, SC,33.836082,-81.163727
South Dakota,20.1,511,41,45.2,7.3,38,1,21.32 mph, SD,44.5,-100
Tennessee,54.2,1376,6,57.6,14.2,14,23,17.43 mph, TN,35.860119,-86.660156
Texas,28.9,734,34,64.8,18.2,4,38,15.55 mph, TX,31,-100
Utah,12.2,310,49,48.6,9.2,32,16,18.26 mph, UT,39.41922,-111.950684
Vermont,42.7,1085,22,42.9,6.1,44,18,18.07 mph, VT,44,-72.699997
Virginia,44.3,1125,19,55.1,12.8,17,7,19.32 mph, VA,37.926868,-78.024902
Washington,38.4,976,29,48.3,9.1,34,41,15.03 mph, WA,47.751076,-120.740135
West Virginia,45.2,1147,17,51.8,11,23,11,18.72 mph, WV,39,-80.5
Wisconsin,32.6,829,33,43.1,6.2,43,14,18.40 mph, WI,44.5,-89.5
Wyoming,12.9,328,48,42,5.6,46,3,20.88 mph, WY,43.07597,-107.290283